date,category,brand,option,r,g,b,L,a,b,hex,case_type,timestamp
251124,lipstick,디어달리아,뉴트럴로즈페이,203,113,116,17.3456,35.6612,14.1206,#CB7174,A_normal,2025-11-27 17:07:29
251124,lipstick,디어달리아,로지오렌지시에나,226,100,92,17.4283,48.5043,28.8667,#E2645C,A_normal,2025-11-27 17:07:29
251124,lipstick,디어달리아,브라이트핑크크리스틴,235,90,117,17.486,57.9918,14.9081,#EB5A75,A_normal,2025-11-27 17:07:29
251124,lipstick,디어달리아,소프트핑크에린,226,115,109,18.3762,42.5054,23.3387,#E2736D,A_normal,2025-11-27 17:07:29
251124,lipstick,디어달리아,체리레드샬롯,218,16,17,13.8214,69.844,54.6938,#DA1011,A_normal,2025-11-27 17:07:29
251124,lipstick,디어달리아,쿨핑크키이라,241,116,167,19.4854,53.3419,-4.2649,#F174A7,A_normal,2025-11-27 17:07:29
251124,lipstick,디어달리아,피치코랄엘라,226,115,109,18.3762,42.5054,23.3387,#E2736D,A_normal,2025-11-27 17:07:29
251124,lipstick,디어달리아,다이애나,135,69,80,11.346,29.3327,6.3207,#874550,A_normal,2025-11-27 17:07:29
251124,lipstick,디어달리아,루나,223,121,108,18.612,38.2458,24.877,#DF796C,A_normal,2025-11-27 17:07:29
251124,lipstick,디어달리아,에밀리,230,88,88,16.979,55.0616,29.3679,#E65858,A_normal,2025-11-27 17:07:29
251124,lipstick,디어달리아,이사벨라,218,130,136,19.1633,34.536,11.4355,#DA8288,A_normal,2025-11-27 17:07:29
251124,lipstick,디어달리아,카일리,203,77,100,15.1808,51.7736,13.531,#CB4D64,A_normal,2025-11-27 17:07:29
251124,lipstick,디어달리아,클로이,183,28,36,11.8885,58.9232,37.3715,#B71C24,A_normal,2025-11-27 17:07:29
251124,lipstick,디어달리아,펠리시아,155,60,70,11.6925,40.4899,14.6945,#9B3C46,A_normal,2025-11-27 17:07:29
251124,lipstick,디어달리아,헤이즐,233,106,107,18.1542,49.2593,23.6715,#E96A6B,A_normal,2025-11-27 17:07:29
251124,lipstick,롬앤,01더스티핑크,172,85,94,14.123,36.4248,11.5071,#AC555E,A_normal,2025-11-27 17:07:29
251124,lipstick,롬앤,02올댓재즈,175,58,50,12.5409,47.0989,31.2161,#AF3A32,A_normal,2025-11-27 17:07:29
251124,lipstick,롬앤,03실루엣,155,58,59,11.5192,40.574,20.7924,#9B3A3B,A_normal,2025-11-27 17:07:29
251124,lipstick,롬앤,04비포선셋,172,66,76,12.9151,44.1884,16.9602,#AC424C,A_normal,2025-11-27 17:07:29
251124,lipstick,롬앤,05이브닝,151,59,48,11.3109,37.8871,26.5059,#973B30,A_normal,2025-11-27 17:07:29
251124,lipstick,롬앤,06어썸,220,87,80,16.4023,51.6036,31.1904,#DC5750,A_normal,2025-11-27 17:07:29
251124,lipstick,롬앤,07엔비미,212,104,105,17.0996,42.5468,19.5642,#D46869,A_normal,2025-11-27 17:07:29
251124,lipstick,롬앤,08어도러블,225,92,87,16.9323,51.5222,29.5778,#E15C57,A_normal,2025-11-27 17:07:29
251124,lipstick,롬앤,09쉘누드,234,138,122,20.2008,34.8733,24.3766,#EA8A7A,A_normal,2025-11-27 17:07:29
251124,lipstick,롬앤,10핑크샌드,207,110,118,17.3335,38.9313,12.9875,#CF6E76,A_normal,2025-11-27 17:07:29
251124,lipstick,롬앤,11선라이트,216,32,71,14.1283,68.3829,26.8458,#D82047,A_normal,2025-11-27 17:07:29
251124,lipstick,롬앤,12썸띵,222,53,75,15.0607,64.8931,28.5899,#DE354B,A_normal,2025-11-27 17:07:29
251124,lipstick,롬앤,13레드카펫,160,24,42,10.3778,53.5832,26.8988,#A0182A,A_normal,2025-11-27 17:07:29
251124,lipstick,롬앤,14스윗피,181,46,72,12.4826,54.9374,17.7922,#B52E48,A_normal,2025-11-27 17:07:29
251124,lipstick,롬앤,15미드나잇,121,29,41,8.1096,40.0743,16.4298,#791D29,A_normal,2025-11-27 17:07:29
251124,lipstick,롬앤,16대즐레드,209,49,39,14.054,60.8573,44.6035,#D13127,A_normal,2025-11-27 17:07:29
251124,lipstick,롬앤,17레드히트,183,34,50,12.0959,57.9628,29.8664,#B72232,A_normal,2025-11-27 17:07:29
251124,lipstick,롬앤,18태닝레드,170,39,45,11.454,52.4156,29.7464,#AA272D,A_normal,2025-11-27 17:07:29
251124,lipstick,롬앤,19레드서퍼,193,14,55,12.3319,64.7125,28.2334,#C10E37,A_normal,2025-11-27 17:07:29
251124,lipstick,롬앤,20레드다이브,142,19,41,9.1044,49.5835,21.5334,#8E1329,A_normal,2025-11-27 17:07:29
251124,lipstick,롬앤,21스모크드베이지,191,117,103,17.0584,27.4941,20.0481,#BF7567,A_normal,2025-11-27 17:07:29
251124,lipstick,롬앤,22모브빈즈,183,108,120,16.2559,31.2776,6.2887,#B76C78,A_normal,2025-11-27 17:07:29
251124,lipstick,맥,디보티드투데인저,208,29,33,13.4415,65.4914,45.7254,#D01D21,A_normal,2025-11-27 17:07:29
251124,lipstick,맥,루비뉴,203,12,43,12.8911,67.0243,38.1182,#CB0C2B,A_normal,2025-11-27 17:07:29
251124,lipstick,맥,멀잇오버,187,97,81,15.4527,34.6465,25.549,#BB6151,A_normal,2025-11-27 17:07:29
251124,lipstick,맥,스윗시나몬,181,68,58,13.3838,45.2163,30.1144,#B5443A,A_normal,2025-11-27 17:07:29
251124,lipstick,맥,스테이큐리어스,181,71,79,13.6481,45.2604,18.664,#B5474F,A_normal,2025-11-27 17:07:29
251124,lipstick,맥,진저렐라,188,73,70,14.0536,46.1469,26.057,#BC4946,A_normal,2025-11-27 17:07:29
251124,lipstick,맥,핫파프리카,252,70,50,17.2136,67.2977,51.9485,#FC4632,A_normal,2025-11-27 17:07:29
251124,lipstick,바닐라코,누드로즈,211,135,133,19.2174,28.874,13.2635,#D38785,A_normal,2025-11-27 17:07:29
251124,lipstick,바닐라코,누드베이지,219,148,136,20.4107,25.2934,17.2625,#DB9488,A_normal,2025-11-27 17:07:29
251124,lipstick,바닐라코,발레리나,232,118,106,18.7922,42.9591,27.0237,#E8766A,A_normal,2025-11-27 17:07:29
251124,lipstick,바닐라코,살몬누드,207,152,133,20.2768,18.0901,18.103,#CF9885,A_normal,2025-11-27 17:07:29
251124,lipstick,바닐라코,코랄슈,228,138,123,19.98,32.6813,22.7008,#E48A7B,A_normal,2025-11-27 17:07:29
251124,lipstick,바닐라코,핑크슈,220,137,144,19.7535,32.5273,9.7287,#DC8990,A_normal,2025-11-27 17:07:29
251124,lipstick,에스쁘아,10호피치라이즈,212,102,107,16.9947,43.7269,17.9282,#D4666B,A_normal,2025-11-27 17:07:29
251124,lipstick,에스쁘아,11호그레이피,191,20,65,12.3466,63.8234,21.9589,#BF1441,A_normal,2025-11-27 17:07:29
251124,lipstick,에스쁘아,15호피치듀,231,107,102,18.0928,47.6813,26.1979,#E76B66,A_normal,2025-11-27 17:07:29
251124,lipstick,에스쁘아,16호피치바이브,236,74,90,16.6672,62.759,27.0788,#EC4A5A,A_normal,2025-11-27 17:07:29
251124,lipstick,에스쁘아,1호포그모브,201,64,89,14.4056,55.6619,16.5759,#C94059,A_normal,2025-11-27 17:07:29
251124,lipstick,에스쁘아,2호베리코어,254,6,32,15.9869,79.7545,57.0431,#FE0620,A_normal,2025-11-27 17:07:29
251124,lipstick,에스쁘아,2호카인다핑크,229,113,136,18.5608,47.1911,8.7966,#E57188,A_normal,2025-11-27 17:07:29
251124,lipstick,에스쁘아,3호크랜베리,187,3,40,11.7656,63.8349,34.8793,#BB0328,A_normal,2025-11-27 17:07:29
251124,lipstick,에스쁘아,3호푸시안,244,44,110,16.2608,75.2757,13.629,#F42C6E,A_normal,2025-11-27 17:07:29
251124,lipstick,에스쁘아,4호레디셋고,236,30,64,15.2542,73.5801,36.4991,#EC1E40,A_normal,2025-11-27 17:07:29
251124,lipstick,에스쁘아,4호헤이베스티,253,68,137,17.6447,73.1686,4.3446,#FD4489,A_normal,2025-11-27 17:07:29
251124,lipstick,에스쁘아,5호로지퍼지,216,98,104,16.9273,46.8475,19.4671,#D86268,A_normal,2025-11-27 17:07:29
251124,lipstick,에스쁘아,5호블루베리,192,77,115,14.7593,49.6283,2.2497,#C04D73,A_normal,2025-11-27 17:07:29
251124,lipstick,에스쁘아,6호뉴로즈,241,119,140,19.4393,48.8209,10.8946,#F1778C,A_normal,2025-11-27 17:07:29
251124,lipstick,에스쁘아,6호코랄커드,250,83,96,17.7921,64.0358,28.9086,#FA5360,A_normal,2025-11-27 17:07:29
251124,lipstick,에스쁘아,7호애쉬메이플,213,104,96,17.0919,42.1441,24.7471,#D56860,A_normal,2025-11-27 17:07:29
251124,lipstick,에스쁘아,7호탠지버터,241,119,85,19.1398,44.3321,40.3005,#F17755,A_normal,2025-11-27 17:07:29
251124,lipstick,에스쁘아,8호애쉬코코아,124,54,47,9.6302,29.8491,19.1565,#7C362F,A_normal,2025-11-27 17:07:29
251124,lipstick,에스쁘아,9호퍼시몬,216,30,34,13.9527,67.4636,47.3514,#D81E22,A_normal,2025-11-27 17:07:29
251124,lipstick,에스쁘아,디즈니13호비트라일락,188,12,58,12.0061,63.8283,24.7924,#BC0C3A,A_normal,2025-11-27 17:07:29
251124,lipstick,에스쁘아,디즈니14호스웨이코랄,225,73,77,15.9872,58.9518,31.3822,#E1494D,A_normal,2025-11-27 17:07:29
251124,lipstick,에스쁘아,메리베리에디션18호누디베리,180,92,81,14.8322,34.5554,22.6631,#B45C51,A_normal,2025-11-27 17:07:29
251124,lipstick,에스쁘아,메리베리에디션19호메리베리,152,49,69,10.9687,44.373,11.9495,#983145,A_normal,2025-11-27 17:07:29
251124,lipstick,에스쁘아,메리베리에디션2호베리코어,254,6,32,15.9869,79.7545,57.0431,#FE0620,A_normal,2025-11-27 17:07:29
251124,lipstick,웨이크메이크,01러브피버,133,84,82,12.335,20.1515,9.6845,#855452,A_normal,2025-11-27 17:07:29
251124,lipstick,웨이크메이크,01피치샤워,187,97,93,15.5196,35.6993,18.8383,#BB615D,A_normal,2025-11-27 17:07:29
251124,lipstick,웨이크메이크,02밀크애프리콧,159,102,94,14.733,21.9635,14.0544,#9F665E,A_normal,2025-11-27 17:07:29
251124,lipstick,웨이크메이크,02스윗챗,205,98,97,16.3914,42.2858,20.8567,#CD6261,A_normal,2025-11-27 17:07:29
251124,lipstick,웨이크메이크,03샤이유스,147,73,70,12.0797,30.7727,16.2162,#934946,A_normal,2025-11-27 17:07:29
251124,lipstick,웨이크메이크,03애플피즈,165,48,49,11.5324,47.7686,27.3882,#A53031,A_normal,2025-11-27 17:07:29
251124,lipstick,웨이크메이크,04아몬드누드,166,82,66,13.4981,33.1373,25.3481,#A65242,A_normal,2025-11-27 17:07:29
251124,lipstick,웨이크메이크,04피치베베,146,71,64,11.8687,30.9107,18.9423,#924740,A_normal,2025-11-27 17:07:29
251124,lipstick,웨이크메이크,05로지냅,167,52,52,11.8346,46.9861,26.8678,#A73434,A_normal,2025-11-27 17:07:29
251124,lipstick,웨이크메이크,05블러쉬드핑크,151,65,84,11.875,37.9464,6.655,#974154,A_normal,2025-11-27 17:07:29
251124,lipstick,웨이크메이크,06니트,145,67,74,11.6332,33.6174,11.6533,#91434A,A_normal,2025-11-27 17:07:29
251124,lipstick,웨이크메이크,06무디핑크,213,95,125,16.7706,49.2644,6.3654,#D55F7D,A_normal,2025-11-27 17:07:29
251124,lipstick,웨이크메이크,07베리플러쉬,223,97,118,17.2821,51.001,13.0939,#DF6176,A_normal,2025-11-27 17:07:29
251124,lipstick,웨이크메이크,07허쉬모브,120,64,63,10.2072,24.1161,11.4419,#78403F,A_normal,2025-11-27 17:07:29
251124,lipstick,웨이크메이크,08메이플코랄,120,63,53,10.0728,23.6562,17.1646,#783F35,A_normal,2025-11-27 17:07:29
251124,lipstick,웨이크메이크,08프레시핑크,210,62,102,14.8888,60.1801,11.1489,#D23E66,A_normal,2025-11-27 17:07:29
251124,lipstick,웨이크메이크,09모브브리스,176,79,98,13.976,41.3834,8.4824,#B04F62,A_normal,2025-11-27 17:07:29
251124,lipstick,웨이크메이크,09힙베리,125,42,50,9.0085,36.5531,14.5595,#7D2A32,A_normal,2025-11-27 17:07:29
251124,lipstick,웨이크메이크,10클리어레드,120,48,49,9.069,31.6107,15.3142,#783031,A_normal,2025-11-27 17:07:29
251124,lipstick,웨이크메이크,10피그레드,161,41,70,11.1385,50.4716,12.3554,#A12946,A_normal,2025-11-27 17:07:29
251124,lipstick,웨이크메이크,11로즈뱅,124,53,47,9.5678,30.3864,18.8904,#7C352F,A_normal,2025-11-27 17:07:29
251124,lipstick,웨이크메이크,재입고13볼드누드,140,94,86,13.3784,17.7281,12.2266,#8C5E56,A_normal,2025-11-27 17:07:29
251124,lipstick,웨이크메이크,재입고14와일드토프,97,58,54,8.6972,16.7391,9.7763,#613A36,A_normal,2025-11-27 17:07:29
251124,lipstick,컬러그램,01웜피치,195,115,111,17.1267,31.001,15.8376,#C3736F,A_normal,2025-11-27 17:07:29
251124,lipstick,컬러그램,02쿨핑크,188,121,120,17.3324,26.0595,11.4636,#BC7978,A_normal,2025-11-27 17:07:29
251124,lipstick,컬러그램,03누디피치,219,133,120,19.2955,31.5702,21.0982,#DB8578,A_normal,2025-11-27 17:07:29
251124,lipstick,컬러그램,05쿨로즈,196,123,136,17.88,30.0889,4.9697,#C47B88,A_normal,2025-11-27 17:07:29
251124,lipstick,컬러그램,06누디로즈,201,138,141,19.1311,24.4539,8.1663,#C98A8D,A_normal,2025-11-27 17:07:29
